class	S12K_1	S3M_1	SMS_1	S3S_1	STS_1	S3T_1	SKM_1	SLT_1	S3L_1	S12K_2	S3M_2	SMS_2	S3S_2	STS_2	S3T_2	SKM_2	SLT_2	S3L_2	S12K_3	S3M_3	SMS_3	S3S_3	STS_3	S3T_3	SKM_3	SLT_3
Bacillariophyceae	68.24	39.83	25.28	35.25	38.24	36.93	29.52	25.05	22.76	39.09	2.21	1.61	12.06	35.36	25.45	7.59	11.3	16.86	111.18	71	168.39	162.4	118.3	268.4	220.19	184.9
Chlorophyceae	15.42	31.17	23.31	27.49	8.5	5.98	4.54	1.82	1.13	27.06	12.27	6.56	12.51	27.87	27.72	12.23	21.69	4.4	20.5	63.6	38.5	25.8	35.4	54.9	16.8	32.3
Chrysophyceae	1.46	1.21	2.3	4.46	14.64	2.2	19.68	3.64	19.6	141.75	71.91	39	138.04	451.74	280.46	190.37	113.78	160.15	6.1	4.9	9.6	3.6	23.8	27.8	5.6	16.4
Coscinodiscophyceae	0	0	0.18	1.64	0.24	4	2.02	2.68	1.78	8.16	3.51	0	1.79	24.13	23.18	31.64	21.25	16.13	3.4	0.3	8.9	2.8	128.9	16.4	0.2	2.3
Cryptophyceae	1.71	6.43	7.95	5.87	9.21	1	2.27	5.01	0.82	35.65	3.51	4.51	12.95	15.4	6.36	17.3	14.17	0	14.2	20	13.6	13.2	16.4	21.5	0.2	0.8
Dinophyceae	0.73	2.01	4.77	7.75	1.42	3.59	2.52	2.05	0.2	6.44	1.75	0.82	2.24	3.32	4.54	0.84	1.33	2.57	1.4	5.2	12.3	5.9	7.2	3.6	1.8	0.8
Mediophyceae	1.22	0.4	0	1.41	0.71	0.6	1.01	0	0.45	0.43	0.88	3.28	5.36	292.83	147.28	300.81	493.19	326.18	0	0.3	0	0.3	0	108.8	3.5	0.8
Prymnesiophyceae	0	0	0	0	0	0	0.76	0	0	0	1.75	0.82	9.38	19.55	6.82	8.44	3.54	0.37	30.5	14.8	13.8	9.8	3.2	18.2	0	1.6
Trebouxiophyceae	34.76	22.93	13.42	27.49	22.43	55.7	0.76	2.96	0	0	0	0	0	0	0	0.42	0.89	0	1.4	1.4	3.9	3.1	0.5	3.6	2.9	3.6
